0	0
1	0
2	0
3	1
4	2
5	0
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	7
15	9
17	1
16	1
19	1
18	1
21	1
20	1
23	1
22	1
25	1
24	1
27	1
26	1
29	1
28	1
31	15
30	1
34	16
35	17
32	18
33	1
38	20
39	21
36	1
37	24
42	1
43	1
40	27
41	21
46	1
47	1
44	1
45	1
51	1
50	1
49	1
48	1
55	1
54	1
53	1
52	1
59	1
58	1
57	1
56	1
63	1
62	17
61	1
60	39
68	1
69	1
70	1
71	1
64	24
65	1
66	1
67	1
76	1
77	39
78	1
79	1
72	4
73	5
74	1
75	1
85	1
84	1
87	1
86	1
81	1
80	11
83	1
82	1
93	1
92	1
95	1
94	1
89	1
88	14
91	1
90	1
102	1
103	1
100	1
101	1
98	1
99	1
96	1
97	1
110	25
111	39
108	28
109	4
106	29
107	27
104	1
105	9
119	39
118	32
117	1
116	1
115	34
114	1
113	9
112	36
127	1
126	1
125	38
124	17
123	1
122	1
121	39
120	39
137	2
136	2
139	1
138	2
141	1
140	1
143	1
142	1
129	32
128	3
131	29
130	39
133	2
132	1
135	2
134	2
152	10
153	1
154	1
155	1
156	1
157	1
158	12
159	1
144	13
145	1
146	1
147	39
148	1
149	1
150	1
151	1
171	1
170	1
169	1
168	1
175	19
174	22
173	22
172	23
163	39
162	20
161	26
160	1
167	1
166	1
165	34
164	29
186	30
187	31
184	33
185	39
190	1
191	1
188	31
189	35
178	34
179	34
176	37
177	27
182	39
183	1
180	28
181	1
193	1
192	35
195	6
194	8
